Ret,s,l,s2,L2
-0.127733594,5,10,20,40
-0.07988068,5,10,20,60
-0.065359535,5,10,20,80
-0.100923157,5,10,20,100
-0.059013137,5,10,30,60
-0.101167006,5,10,30,90
-0.107043974,5,10,30,120
-0.027943314,5,10,30,150
-0.041419205,5,10,40,80
-0.111881036,5,10,40,120
-0.029236081,5,10,40,160
-0.024356761,5,10,40,200
-0.074996783,5,10,50,100
-0.030775619,5,10,50,150
-0.026454538,5,10,50,200
-0.056932685,5,10,50,250
0.010932434,5,15,30,60
-0.025900614,5,15,30,90
-0.02792828,5,15,30,120
0.052361641,5,15,30,150
-0.00335592,5,15,45,90
0.016440589,5,15,45,135
0.051347288,5,15,45,180
0.040152743,5,15,45,225
-0.068728887,5,15,60,120
0.03980808,5,15,60,180
0.019094499,5,15,60,240
0.071151483,5,15,60,300
0.037316286,5,15,75,150
0.024361727,5,15,75,225
0.071151483,5,15,75,300
0.071151483,5,15,75,375
0.041434876,5,20,40,80
-0.029839002,5,20,40,120
0.053609095,5,20,40,160
0.058349548,5,20,40,200
-0.065638526,5,20,60,120
0.042317484,5,20,60,180
0.021726826,5,20,60,240
0.073559146,5,20,60,300
0.055981361,5,20,80,160
0.03883818,5,20,80,240
0.073559146,5,20,80,320
0.073559146,5,20,80,400
0.04755885,5,20,100,200
0.063593767,5,20,100,300
0.073559146,5,20,100,400
0.073559146,5,20,100,500
0.004720712,5,25,50,100
0.046806227,5,25,50,150
0.047086799,5,25,50,200
0.020619717,5,25,50,250
0.034847387,5,25,75,150
0.026233872,5,25,75,225
0.068223565,5,25,75,300
0.068223565,5,25,75,375
0.042468621,5,25,100,200
0.058306941,5,25,100,300
0.068223565,5,25,100,400
0.068223565,5,25,100,500
0.02072127,5,25,125,250
0.068223565,5,25,125,375
0.068223565,5,25,125,500
0.068223565,5,25,125,625
0.037243842,10,20,40,80
-0.030801241,10,20,40,120
0.04736807,10,20,40,160
0.052051221,10,20,40,200
-0.064028337,10,20,60,120
0.042225955,10,20,60,180
0.01994176,10,20,60,240
0.071007101,10,20,60,300
0.053708435,10,20,80,160
0.036786753,10,20,80,240
0.071007101,10,20,80,320
0.071007101,10,20,80,400
0.045367631,10,20,100,200
0.063117641,10,20,100,300
0.071007101,10,20,100,400
0.071007101,10,20,100,500
-0.080316544,10,30,60,120
0.024066177,10,30,60,180
0.00422149,10,30,60,240
0.054421903,10,30,60,300
0.030319588,10,30,90,180
0.065432237,10,30,90,270
0.054421903,10,30,90,360
0.054421903,10,30,90,450
0.012063888,10,30,120,240
0.054421903,10,30,120,360
0.054421903,10,30,120,480
0.054421903,10,30,120,600
0.04293447,10,30,150,300
0.054421903,10,30,150,450
0.054421903,10,30,150,600
0.054421903,10,30,150,750
-0.084631655,10,40,80,160
-0.099311628,10,40,80,240
-0.067914787,10,40,80,320
-0.067914787,10,40,80,400
-0.105179309,10,40,120,240
-0.067914787,10,40,120,360
-0.067914787,10,40,120,480
-0.067914787,10,40,120,600
-0.066067523,10,40,160,320
-0.067914787,10,40,160,480
-0.067914787,10,40,160,640
-0.067914787,10,40,160,800
-0.067914787,10,40,200,400
-0.067914787,10,40,200,600
-0.067914787,10,40,200,800
-0.067914787,10,40,200,1000
-0.07367674,10,50,100,200
-0.058872795,10,50,100,300
-0.049747525,10,50,100,400
-0.049747525,10,50,100,500
-0.060521875,10,50,150,300
-0.049747525,10,50,150,450
-0.049747525,10,50,150,600
-0.049747525,10,50,150,750
-0.049747525,10,50,200,400
-0.049747525,10,50,200,600
-0.049747525,10,50,200,800
-0.049747525,10,50,200,1000
-0.049747525,10,50,250,500
-0.049747525,10,50,250,750
-0.049747525,10,50,250,1000
-0.049747525,10,50,250,1250
-0.132802072,15,30,60,120
-0.032628295,15,30,60,180
-0.0532432,15,30,60,240
-0.005130712,15,30,60,300
-0.028759609,15,30,90,180
0.004966467,15,30,90,270
-0.005130712,15,30,90,360
-0.005130712,15,30,90,450
-0.045922138,15,30,120,240
-0.005130712,15,30,120,360
-0.005130712,15,30,120,480
-0.005130712,15,30,120,600
-0.016202711,15,30,150,300
-0.005130712,15,30,150,450
-0.005130712,15,30,150,600
-0.005130712,15,30,150,750
-0.021564412,15,45,90,180
0.012339934,15,45,90,270
0.002320449,15,45,90,360
0.002320449,15,45,90,450
0.013780017,15,45,135,270
0.002320449,15,45,135,405
0.002320449,15,45,135,540
0.002320449,15,45,135,675
0.002320449,15,45,180,360
0.002320449,15,45,180,540
0.002320449,15,45,180,720
0.002320449,15,45,180,900
0.002320449,15,45,225,450
0.002320449,15,45,225,675
0.002320449,15,45,225,900
0.002320449,15,45,225,1125
-0.082755793,15,60,120,240
-0.043862869,15,60,120,360
-0.043862869,15,60,120,480
-0.043862869,15,60,120,600
-0.043862869,15,60,180,360
-0.043862869,15,60,180,540
-0.043862869,15,60,180,720
-0.043862869,15,60,180,900
-0.043862869,15,60,240,480
-0.043862869,15,60,240,720
-0.043862869,15,60,240,960
-0.043862869,15,60,240,1200
-0.043862869,15,60,300,600
-0.043862869,15,60,300,900
-0.043862869,15,60,300,1200
-0.043862869,15,60,300,1500
-0.039166966,15,75,150,300
-0.028334205,15,75,150,450
-0.028334205,15,75,150,600
-0.028334205,15,75,150,750
-0.028334205,15,75,225,450
-0.028334205,15,75,225,675
-0.028334205,15,75,225,900
-0.028334205,15,75,225,1125
-0.028334205,15,75,300,600
-0.028334205,15,75,300,900
-0.028334205,15,75,300,1200
-0.028334205,15,75,300,1500
-0.028334205,15,75,375,750
-0.028334205,15,75,375,1125
-0.028334205,15,75,375,1500
-0.028334205,15,75,375,1875
-0.099173661,20,40,80,160
-0.113316389,20,40,80,240
-0.082836682,20,40,80,320
-0.082836682,20,40,80,400
-0.120921963,20,40,120,240
-0.082836682,20,40,120,360
-0.082836682,20,40,120,480
-0.082836682,20,40,120,600
-0.085066011,20,40,160,320
-0.082836682,20,40,160,480
-0.082836682,20,40,160,640
-0.082836682,20,40,160,800
-0.082836682,20,40,200,400
-0.082836682,20,40,200,600
-0.082836682,20,40,200,800
-0.082836682,20,40,200,1000
-0.071543556,20,60,120,240
-0.032235738,20,60,120,360
-0.032235738,20,60,120,480
-0.032235738,20,60,120,600
-0.032235738,20,60,180,360
-0.032235738,20,60,180,540
-0.032235738,20,60,180,720
-0.032235738,20,60,180,900
-0.032235738,20,60,240,480
-0.032235738,20,60,240,720
-0.032235738,20,60,240,960
-0.032235738,20,60,240,1200
-0.032235738,20,60,300,600
-0.032235738,20,60,300,900
-0.032235738,20,60,300,1200
-0.032235738,20,60,300,1500
-0.024512427,20,80,160,320
-0.02230147,20,80,160,480
-0.02230147,20,80,160,640
-0.02230147,20,80,160,800
-0.02230147,20,80,240,480
-0.02230147,20,80,240,720
-0.02230147,20,80,240,960
-0.02230147,20,80,240,1200
-0.02230147,20,80,320,640
-0.02230147,20,80,320,960
-0.02230147,20,80,320,1280
-0.02230147,20,80,320,1600
-0.02230147,20,80,400,800
