Ret,s,l,s2,L2
-1.328437528,5,10,20,40
-1.289886418,5,10,20,60
-1.225489874,5,10,20,80
-1.230710422,5,10,20,100
-1.298403757,5,10,30,60
-1.20837441,5,10,30,90
-1.234114599,5,10,30,120
-1.210801295,5,10,30,150
-1.221065841,5,10,40,80
-1.183734903,5,10,40,120
-1.186798358,5,10,40,160
-1.122732294,5,10,40,200
-1.217835865,5,10,50,100
-1.194381811,5,10,50,150
-1.136607678,5,10,50,200
-1.136027975,5,10,50,250
-1.045637336,5,15,30,60
-0.953178578,5,15,30,90
-0.986177029,5,15,30,120
-0.944545296,5,15,30,150
-1.026542428,5,15,45,90
-0.9483712,5,15,45,135
-0.888020804,5,15,45,180
-0.898288513,5,15,45,225
-0.961262094,5,15,60,120
-0.920410265,5,15,60,180
-0.872284005,5,15,60,240
-0.859520171,5,15,60,300
-0.903005131,5,15,75,150
-0.871079941,5,15,75,225
-0.836624635,5,15,75,300
-0.929135824,5,15,75,375
-0.848105514,5,20,40,80
-0.814364206,5,20,40,120
-0.799680124,5,20,40,160
-0.757698959,5,20,40,200
-0.836812239,5,20,60,120
-0.817642236,5,20,60,180
-0.749111123,5,20,60,240
-0.746453753,5,20,60,300
-0.81758772,5,20,80,160
-0.729057571,5,20,80,240
-0.725892032,5,20,80,320
-0.838027319,5,20,80,400
-0.758994177,5,20,100,200
-0.716146102,5,20,100,300
-0.846933356,5,20,100,400
-0.813362169,5,20,100,500
-0.697681709,5,25,50,100
-0.682307849,5,25,50,150
-0.615642757,5,25,50,200
-0.591855797,5,25,50,250
-0.641175159,5,25,75,150
-0.601382949,5,25,75,225
-0.573738421,5,25,75,300
-0.651595662,5,25,75,375
-0.604850402,5,25,100,200
-0.56198408,5,25,100,300
-0.693021797,5,25,100,400
-0.661382261,5,25,100,500
-0.570393769,5,25,125,250
-0.64600521,5,25,125,375
-0.667266407,5,25,125,500
-0.694344217,5,25,125,625
-0.819389661,10,20,40,80
-0.779520191,10,20,40,120
-0.773472584,10,20,40,160
-0.738873247,10,20,40,200
-0.804526652,10,20,60,120
-0.776425978,10,20,60,180
-0.718209843,10,20,60,240
-0.709815299,10,20,60,300
-0.777237624,10,20,80,160
-0.695816399,10,20,80,240
-0.688209396,10,20,80,320
-0.80365815,10,20,80,400
-0.721923439,10,20,100,200
-0.684540771,10,20,100,300
-0.806052774,10,20,100,400
-0.774827557,10,20,100,500
-0.602155588,10,30,60,120
-0.563773709,10,30,60,180
-0.504825731,10,30,60,240
-0.496503017,10,30,60,300
-0.504511916,10,30,90,180
-0.462607508,10,30,90,270
-0.541175794,10,30,90,360
-0.58233491,10,30,90,450
-0.480395533,10,30,120,240
-0.53358118,10,30,120,360
-0.551730191,10,30,120,480
-0.546901105,10,30,120,600
-0.438912603,10,30,150,300
-0.580852557,10,30,150,450
-0.516636867,10,30,150,600
-0.576194112,10,30,150,750
-0.478910872,10,40,80,160
-0.400169527,10,40,80,240
-0.390890515,10,40,80,320
-0.497746813,10,40,80,400
-0.388188534,10,40,120,240
-0.441665639,10,40,120,360
-0.46593265,10,40,120,480
-0.457228743,10,40,120,600
-0.338323019,10,40,160,320
-0.475476313,10,40,160,480
-0.444715697,10,40,160,640
-0.442109237,10,40,160,800
-0.488588304,10,40,200,400
-0.417990914,10,40,200,600
-0.420920109,10,40,200,800
-0.4057768,10,40,200,1000
-0.369694713,10,50,100,200
-0.326607982,10,50,100,300
-0.448100168,10,50,100,400
-0.419247269,10,50,100,500
-0.297489994,10,50,150,300
-0.441304111,10,50,150,450
-0.374563625,10,50,150,600
-0.434811837,10,50,150,750
-0.434602533,10,50,200,400
-0.365648975,10,50,200,600
-0.368624444,10,50,200,800
-0.353357648,10,50,200,1000
-0.41849168,10,50,250,500
-0.358542359,10,50,250,750
-0.359295364,10,50,250,1000
-0.395830084,10,50,250,1250
-0.553897107,15,30,60,120
-0.523590927,15,30,60,180
-0.458275286,15,30,60,240
-0.460024462,15,30,60,300
-0.461831688,15,30,90,180
-0.415993301,15,30,90,270
-0.505119459,15,30,90,360
-0.540621288,15,30,90,450
-0.443796044,15,30,120,240
-0.497417201,15,30,120,360
-0.503732427,15,30,120,480
-0.505010542,15,30,120,600
-0.402013401,15,30,150,300
-0.539124852,15,30,150,450
-0.474573574,15,30,150,600
-0.538544145,15,30,150,750
-0.325177308,15,45,90,180
-0.281406373,15,45,90,270
-0.36124869,15,45,90,360
-0.404097004,15,45,90,450
-0.273481242,15,45,135,270
-0.422971776,15,45,135,405
-0.352400875,15,45,135,540
-0.387788637,15,45,135,675
-0.357986449,15,45,180,360
-0.358558047,15,45,180,540
-0.344300404,15,45,180,720
-0.322222454,15,45,180,900
-0.401890574,15,45,225,450
-0.330743422,15,45,225,675
-0.324963103,15,45,225,900
-0.357705554,15,45,225,1125
-0.280293917,15,60,120,240
-0.323141421,15,60,120,360
-0.346987169,15,60,120,480
-0.339997993,15,60,120,600
-0.337364359,15,60,180,360
-0.335816401,15,60,180,540
-0.31752698,15,60,180,720
-0.295309815,15,60,180,900
-0.358027107,15,60,240,480
-0.304831737,15,60,240,720
-0.290053234,15,60,240,960
-0.323612136,15,60,240,1200
-0.332493871,15,60,300,600
-0.311899223,15,60,300,900
-0.32969004,15,60,300,1200
-0.320766756,15,60,300,1500
-0.188705701,15,75,150,300
-0.328981955,15,75,150,450
-0.263186524,15,75,150,600
-0.324195574,15,75,150,750
-0.336344485,15,75,225,450
-0.261282565,15,75,225,675
-0.255330101,15,75,225,900
-0.288033218,15,75,225,1125
-0.285788532,15,75,300,600
-0.265174197,15,75,300,900
-0.28297008,15,75,300,1200
-0.274066238,15,75,300,1500
-0.29426449,15,75,375,750
-0.280372893,15,75,375,1125
-0.285694111,15,75,375,1500
-0.21124974,15,75,375,1875
-0.409899202,20,40,80,160
-0.331159011,20,40,80,240
-0.309871602,20,40,80,320
-0.424872616,20,40,80,400
-0.323159839,20,40,120,240
-0.376543138,20,40,120,360
-0.392767674,20,40,120,480
-0.386243106,20,40,120,600
-0.269074622,20,40,160,320
-0.406311117,20,40,160,480
-0.373712831,20,40,160,640
-0.367116133,20,40,160,800
-0.415406544,20,40,200,400
-0.348798332,20,40,200,600
-0.345766022,20,40,200,800
-0.336600594,20,40,200,1000
-0.266945302,20,60,120,240
-0.315164826,20,60,120,360
-0.334943589,20,60,120,480
-0.323991304,20,60,120,600
-0.323302616,20,60,180,360
-0.321690275,20,60,180,540
-0.307457138,20,60,180,720
-0.285482725,20,60,180,900
-0.343800462,20,60,240,480
-0.290807044,20,60,240,720
-0.276287799,20,60,240,960
-0.309700973,20,60,240,1200
-0.316546397,20,60,300,600
-0.292168685,20,60,300,900
-0.315763555,20,60,300,1200
