cum_ret,short,long,short1,long2,lg-sh,lg2-sh2
27.995886884589900,2,5,130,375,3,245
27.95103968297140,2,5,140,400,3,260
27.933920877352100,2,5,110,475,3,365
27.925458970203300,2,5,100,200,3,100
27.9222461840928,2,5,180,425,3,245
27.91459118871190,2,5,150,300,3,150
27.910152260563700,2,5,110,300,3,190
27.88416373945390,2,5,150,275,3,125
27.86990926383220,2,5,60,450,3,390
27.735730108752100,2,5,200,400,3,200
27.731180999063300,2,5,130,500,3,370
27.720127368749200,2,5,140,500,3,360
27.699277436470100,2,5,80,175,3,95
27.68908361465090,2,5,80,400,3,320
27.67174029404850,2,5,180,350,3,170
27.6713956965514,2,5,180,400,3,220
27.62704237318140,2,5,190,350,3,160
27.626129120693200,2,5,80,425,3,345
27.62555287204100,2,5,190,425,3,235
27.60555641103710,2,5,130,275,3,145
27.60468128575920,2,5,160,475,3,315
27.583589808251400,2,5,100,350,3,250
27.564082971212400,2,5,130,425,3,295
27.56261833971920,2,5,110,325,3,215
27.55888526977950,2,5,130,475,3,345
27.547007958312900,2,5,100,375,3,275
27.511030667241100,2,5,140,175,3,35
27.49569792156150,2,5,180,250,3,70
27.484413208812400,2,5,70,150,3,80
27.4810625335819,2,5,190,300,3,110
27.473957377082600,2,5,160,375,3,215
27.454419609240100,2,5,170,450,3,280
27.444337997808700,2,5,180,450,3,270
27.439066128164400,2,5,110,150,3,40
27.423555454506600,2,5,140,425,3,285
27.415674102064100,2,5,90,425,3,335
27.407299531947900,2,5,80,475,3,395
27.40246851159300,2,5,90,175,3,85
27.377820428428100,2,5,130,350,3,220
27.37571425574770,2,5,150,450,3,300
27.3573784983164,2,5,140,350,3,210
27.34657602522110,2,5,180,375,3,195
27.34261245918240,2,5,200,425,3,225
27.333236204210100,2,5,200,350,3,150
27.327721601554800,2,5,140,450,3,310
27.312355695650300,2,5,110,425,3,315
27.255163282990900,2,5,150,425,3,275
27.25180863137270,2,5,110,350,3,240
27.240394671476400,2,5,150,175,3,25
27.239916550684800,2,5,140,375,3,235
27.239025829716400,2,5,90,200,3,110
27.207369846799000,2,5,90,100,3,10
27.197749702605700,2,5,120,350,3,230
27.176910575050200,2,5,110,400,3,290
27.13505439676400,2,5,150,475,3,325
26.917807996881,2,5,190,400,3,210
26.882939103096300,2,5,60,100,3,40
26.863576983886000,2,5,100,175,3,75
26.843113596091100,2,5,120,175,3,55
26.830031266997900,2,5,130,300,3,170
26.65954780972900,2,5,110,375,3,265
26.577077011331600,2,5,170,275,3,105
26.57271682269960,2,5,140,475,3,335
26.56979847488230,2,5,180,275,3,95
26.562008273443200,2,5,200,275,3,75
26.51209526516190,2,5,160,450,3,290
26.48469309579680,2,5,190,375,3,185
26.429705481881800,2,5,120,300,3,180
26.39705445635570,2,5,120,375,3,255
26.38723194836190,2,5,200,375,3,175
26.201668944999100,2,5,130,325,3,195
26.14427977469460,2,5,120,325,3,205
25.96018595216800,2,5,150,375,3,225
25.92741139784520,2,5,140,325,3,185
25.880313460503900,2,5,90,150,3,60
25.83879530480840,2,5,190,250,3,60
25.740390042446500,2,5,80,150,3,70
25.612293834870900,2,5,110,125,3,15
25.472958541289800,2,5,60,125,3,65
25.443028420182100,2,5,190,275,3,85
25.40815590830160,2,5,90,125,3,35
25.394534253562400,2,5,70,125,3,55
25.364456073402100,2,5,140,150,3,10
25.30814811916310,2,5,70,100,3,30
25.030254091343700,2,5,130,175,3,45
24.80260411172560,2,5,200,250,3,50
24.42123563019070,2,5,100,125,3,25
23.973334292257100,2,5,80,125,3,45
23.7423925674985,2,5,120,125,3,5
23.17630047835070,2,5,80,100,3,20
5.41854711755855,2,10,70,225,8,155
5.381650528083370,2,10,50,275,8,225
5.304979946849520,2,10,50,350,8,300
5.296128324186500,2,10,150,225,8,75
5.276431108448670,2,10,50,225,8,175
5.2664806874696400,2,10,50,375,8,325
5.149486269518080,2,10,170,200,8,30
5.074277400387000,2,10,60,325,8,265
5.0696949743608900,2,10,130,225,8,95
5.058471753961610,2,10,50,400,8,350
5.058178559589010,2,10,80,250,8,170
5.039885065712320,2,10,90,250,8,160
5.037451325200530,2,10,160,200,8,40
5.021394854896790,2,10,150,200,8,50
4.99582302117841,2,10,120,225,8,105
4.989593705124940,2,10,50,250,8,200
4.956553294821120,2,10,60,350,8,290
4.8960442624540700,2,10,50,425,8,375
4.890346814893460,2,10,60,225,8,165
4.8859786000145800,2,10,60,375,8,315
4.885710270771490,2,10,60,300,8,240
4.877098902436520,2,10,70,200,8,130
4.834310727134430,2,10,140,225,8,85
4.801249767048160,2,10,50,300,8,250
4.799866083479960,2,10,90,225,8,135
4.784237618409370,2,10,70,250,8,180
4.7288633511968600,2,10,50,175,8,125
4.677143784742400,2,10,170,225,8,55
4.65358083480459,2,10,50,200,8,150
4.64779415760621,2,10,50,500,8,450
4.637530891720640,2,10,60,250,8,190
4.63361799788869,2,10,80,225,8,145
4.6086779343336300,2,10,160,225,8,65
4.596173787694600,2,10,50,325,8,275
4.579556087466650,2,10,200,500,8,300
4.568297313678600,2,10,100,225,8,125
4.559873401024150,2,10,70,275,8,205
4.559399626394820,2,10,60,275,8,215
4.5278370184345300,2,10,50,475,8,425
4.526687789302520,2,10,50,450,8,400
4.522305625505320,2,10,180,225,8,45
4.5211255143262000,2,10,90,300,8,210
4.511992512922400,2,10,80,275,8,195
4.492134396904170,2,10,60,200,8,140
4.485973818345120,2,10,60,425,8,365
4.438384312096600,2,10,170,175,8,5
4.409926846970490,2,10,200,475,8,275
4.396706480667340,2,10,130,250,8,120
4.339008631992120,2,10,70,375,8,305
4.324999353761120,2,10,140,250,8,110
4.319700038345650,2,10,60,400,8,340
4.310438093516140,2,10,160,325,8,165
4.306746527137110,2,10,60,175,8,115
4.304810832956950,2,10,90,350,8,260
4.296030217891540,2,10,120,250,8,130
4.287965534209100,2,10,70,350,8,280
4.287150648525420,2,10,190,475,8,285
4.282776612870150,2,10,170,325,8,155
4.2761565424674300,2,10,190,500,8,310
4.265531517578240,2,10,90,275,8,185
4.2301331223470900,2,10,180,200,8,20
4.229634049982680,2,10,100,250,8,150
4.226463578016090,2,10,70,300,8,230
4.187249747840240,2,10,70,325,8,255
4.1713017740518200,2,10,170,350,8,180
4.152331703208700,2,10,180,500,8,320
4.150617454020350,2,10,140,275,8,135
4.1497989898208600,2,10,80,350,8,270
4.148976999286980,2,10,50,150,8,100
4.147889617467460,2,10,120,450,8,330
4.139393962338020,2,10,170,400,8,230
4.124210658251670,2,10,160,300,8,140
4.109233755868120,2,10,100,450,8,350
4.102453760091640,2,10,160,350,8,190
4.092967333771750,2,10,90,500,8,410
4.0846324324796700,2,10,110,225,8,115
4.077867986898840,2,10,100,500,8,400
4.077828618403450,2,10,110,175,8,65
4.063522102101820,2,10,100,300,8,200
4.061423408934090,2,10,200,300,8,100
4.061393330200930,2,10,170,300,8,130
4.0579334804463,2,10,90,400,8,310
4.055779677242060,2,10,110,250,8,140
4.049934009006930,2,10,90,475,8,385
4.049328662128530,2,10,70,500,8,430
4.008685463135770,2,10,160,175,8,15
4.006056458720700,2,10,100,275,8,175
4.006049431386510,2,10,170,250,8,80
3.985648853601820,2,10,160,500,8,340
3.973299735242740,2,10,100,475,8,375
3.971918721692460,2,10,70,175,8,105
3.962770797805150,2,10,200,450,8,250
3.961562922177200,2,10,140,200,8,60
3.94139209678063,2,10,160,425,8,265
3.935333161194940,2,10,80,375,8,295
3.931923766521600,2,10,80,300,8,220
3.9233474540721500,2,10,100,325,8,225
3.9124692304391100,2,10,150,350,8,200
3.903216818807170,2,10,90,450,8,360
3.8981657312564300,2,10,90,325,8,235
3.895125622884040,2,10,70,475,8,405
3.894971814779200,2,10,160,400,8,240
3.8782612060224300,2,10,170,375,8,205
3.8677229725072600,2,10,130,400,8,270
3.858612013966050,2,10,50,100,8,50
3.855760217993460,2,10,180,325,8,145
3.851510268546440,2,10,120,275,8,155
3.8497231325510600,2,10,170,500,8,330
3.8492722141188600,2,10,90,375,8,285
3.8427693366349800,2,10,70,450,8,380
3.834925784724880,2,10,110,200,8,90
3.829296317583560,2,10,60,500,8,440
3.825145941593140,2,10,60,150,8,90
3.812066297772390,2,10,190,200,8,10
3.8102640695447500,2,10,80,200,8,120
3.8099029707734500,2,10,70,425,8,355
3.8017081752099600,2,10,110,275,8,165
3.800960250782700,2,10,170,475,8,305
3.7985123799410700,2,10,190,450,8,260
3.7960933832802000,2,10,180,475,8,295
3.792883909044400,2,10,150,325,8,175
3.785511881313560,2,10,120,500,8,380
3.7846147434417900,2,10,200,325,8,125
3.7805173920671000,2,10,130,200,8,70
3.7798830542366300,2,10,100,425,8,325
3.7761055166731400,2,10,60,475,8,415
3.767259014495390,2,10,190,325,8,135
3.7615533893989600,2,10,80,450,8,370
3.7612490074322500,2,10,150,500,8,350
3.760589914358960,2,10,180,300,8,120
3.754643694222500,2,10,160,275,8,115
3.7543482328107800,2,10,190,225,8,35
3.7438824397805500,2,10,110,500,8,390
3.74100746311883,2,10,120,475,8,355
3.740937010635490,2,10,120,425,8,305
3.732484570310260,2,10,150,250,8,100
3.7179784146687300,2,10,160,250,8,90
3.715572501021540,2,10,170,425,8,255
3.714647977580610,2,10,110,450,8,340
3.7082282894532600,2,10,120,200,8,80
3.7009863007577100,2,10,70,400,8,330
3.6995492538484500,2,10,80,325,8,245
3.690424344953550,2,10,80,500,8,420
3.68361524173271,2,10,100,400,8,300
3.681022643335020,2,10,130,450,8,320
3.6726734321932500,2,10,150,400,8,250
3.666597244841410,2,10,120,400,8,280
3.6442336919125700,2,10,110,475,8,365
3.6423044982564000,2,10,130,375,8,245
3.6391856141790400,2,10,180,425,8,245
3.623866420940520,2,10,140,400,8,260
3.6173215530736800,2,10,50,125,8,75
3.61464132378892,2,10,140,300,8,160
3.5995116610185200,2,10,60,450,8,390
3.5955675967143100,2,10,150,300,8,150
3.5942233756768900,2,10,130,500,8,370
3.5867152222788000,2,10,150,275,8,125
3.586164744423860,2,10,110,300,8,190
3.585292314536970,2,10,120,150,8,30
3.582132702085860,2,10,140,500,8,360
3.5806829069017800,2,10,200,400,8,200
3.56026922125813,2,10,200,225,8,25
3.5569243177009300,2,10,190,350,8,160
3.5540612243356700,2,10,180,400,8,220
3.548654675152890,2,10,100,200,8,100
3.545056480543290,2,10,160,475,8,315
3.545045258332910,2,10,180,350,8,170
3.539727861354360,2,10,80,400,8,320
3.5365320425514900,2,10,80,425,8,345
3.5258233650035800,2,10,130,475,8,345
3.52239517863757,2,10,190,425,8,235
3.509427864147690,2,10,130,425,8,295
3.503936684710040,2,10,180,450,8,270
3.5031647132578800,2,10,100,350,8,250
3.502920386921780,2,10,80,475,8,395
3.501394974968150,2,10,130,275,8,145
3.499638802836860,2,10,100,375,8,275
3.4950163462959900,2,10,170,450,8,280
3.4809905237726300,2,10,90,425,8,335
3.475936296894580,2,10,160,375,8,215
3.475654780602110,2,10,140,425,8,285
