Ret,s,l,s2,L2
-0.172508147,5,10,20,40
-0.138147427,5,10,20,60
-0.16595016,5,10,20,80
-0.241862878,5,10,20,100
-0.136597801,5,10,30,60
-0.198427269,5,10,30,90
-0.234039872,5,10,30,120
-0.234767565,5,10,30,150
-0.090992941,5,10,40,80
-0.241587928,5,10,40,120
-0.207857207,5,10,40,160
-0.206336115,5,10,40,200
-0.262836598,5,10,50,100
-0.198281423,5,10,50,150
-0.213721587,5,10,50,200
-0.195512527,5,10,50,250
-0.153782979,5,15,30,60
-0.218953239,5,15,30,90
-0.243881826,5,15,30,120
-0.238113754,5,15,30,150
-0.237353822,5,15,45,90
-0.230794489,5,15,45,135
-0.222432142,5,15,45,180
-0.209873719,5,15,45,225
-0.272521427,5,15,60,120
-0.216076515,5,15,60,180
-0.195115285,5,15,60,240
-0.235217348,5,15,60,300
-0.230955129,5,15,75,150
-0.199245417,5,15,75,225
-0.233214071,5,15,75,300
-0.235203218,5,15,75,375
-0.058308383,5,20,40,80
-0.204824157,5,20,40,120
-0.172674558,5,20,40,160
-0.176732942,5,20,40,200
-0.233223813,5,20,60,120
-0.170495448,5,20,60,180
-0.149433704,5,20,60,240
-0.189854872,5,20,60,300
-0.215654604,5,20,80,160
-0.143215345,5,20,80,240
-0.191087596,5,20,80,320
-0.135960025,5,20,80,400
-0.160822813,5,20,100,200
-0.176657011,5,20,100,300
-0.135518933,5,20,100,400
-0.119205545,5,20,100,500
-0.176378346,5,25,50,100
-0.119966691,5,25,50,150
-0.126906975,5,25,50,200
-0.111383568,5,25,50,250
-0.136112761,5,25,75,150
-0.106131112,5,25,75,225
-0.142460618,5,25,75,300
-0.146541139,5,25,75,375
-0.113379532,5,25,100,200
-0.129230164,5,25,100,300
-0.088033802,5,25,100,400
-0.071681714,5,25,100,500
-0.11881354,5,25,125,250
-0.188656242,5,25,125,375
-0.065387023,5,25,125,500
-0.066707148,5,25,125,625
-0.072913854,10,20,40,80
-0.218444196,10,20,40,120
-0.179129494,10,20,40,160
-0.178978085,10,20,40,200
-0.23212773,10,20,60,120
-0.180961779,10,20,60,180
-0.156370576,10,20,60,240
-0.195251253,10,20,60,300
-0.223029156,10,20,80,160
-0.146281555,10,20,80,240
-0.196450502,10,20,80,320
-0.144971693,10,20,80,400
-0.16162958,10,20,100,200
-0.180590449,10,20,100,300
-0.142598097,10,20,100,400
-0.126661208,10,20,100,500
-0.155708277,10,30,60,120
-0.096345543,10,30,60,180
-0.071651964,10,30,60,240
-0.110728521,10,30,60,300
-0.131102673,10,30,90,180
-0.112261288,10,30,90,270
-0.112334127,10,30,90,360
-0.039572615,10,30,90,450
-0.050426462,10,30,120,240
-0.114210636,10,30,120,360
-0.040686004,10,30,120,480
-0.039711763,10,30,120,600
-0.094052716,10,30,150,300
-0.042840594,10,30,150,450
-0.041931185,10,30,150,600
-0.062881088,10,30,150,750
-0.100071969,10,40,80,160
-0.030560976,10,40,80,240
-0.073487382,10,40,80,320
-0.021313555,10,40,80,400
-0.013408585,10,40,120,240
-0.077824447,10,40,120,360
-0.001651327,10,40,120,480
-0.000669448,10,40,120,600
-0.0840699,10,40,160,320
-0.003199814,10,40,160,480
-0.006943932,10,40,160,640
-0.02861775,10,40,160,800
-0.057079415,10,40,200,400
-0.01062442,10,40,200,600
-0.031944129,10,40,200,800
0.018896252,10,40,200,1000
-0.038531857,10,50,100,200
-0.053870644,10,50,100,300
-0.013695926,10,50,100,400
0.002322369,10,50,100,500
-0.049979046,10,50,150,300
0.00141907,10,50,150,450
0.0023208,10,50,150,600
-0.022812326,10,50,150,750
-0.051705041,10,50,200,400
-0.005360546,10,50,200,600
-0.026624272,10,50,200,800
0.024111998,10,50,200,1000
0.007281816,10,50,250,500
-0.010470141,10,50,250,750
0.024111998,10,50,250,1000
0.024111998,10,50,250,1250
-0.192315476,15,30,60,120
-0.134183673,15,30,60,180
-0.110076809,15,30,60,240
-0.145877781,15,30,60,300
-0.171923183,15,30,90,180
-0.149510895,15,30,90,270
-0.151338754,15,30,90,360
-0.078488791,15,30,90,450
-0.091253743,15,30,120,240
-0.153225273,15,30,120,360
-0.079632424,15,30,120,480
-0.078673753,15,30,120,600
-0.131803429,15,30,150,300
-0.08173402,15,30,150,450
-0.080835362,15,30,150,600
-0.105130188,15,30,150,750
-0.129013732,15,45,90,180
-0.106701184,15,45,90,270
-0.108436713,15,45,90,360
-0.034683386,15,45,90,450
-0.096625846,15,45,135,270
-0.076003971,15,45,135,405
-0.03783183,15,45,135,540
-0.044041972,15,45,135,675
-0.143558779,15,45,180,360
-0.049104228,15,45,180,540
-0.062152522,15,45,180,720
-0.016008072,15,45,180,900
-0.054484567,15,45,225,450
-0.060321347,15,45,225,675
-0.016008072,15,45,225,900
-0.016008072,15,45,225,1125
-0.039171798,15,60,120,240
-0.099568642,15,60,120,360
-0.025744782,15,60,120,480
-0.020833965,15,60,120,600
-0.13056589,15,60,180,360
-0.038929121,15,60,180,540
-0.051820898,15,60,180,720
-0.006130946,15,60,180,900
-0.024965007,15,60,240,480
-0.038193481,15,60,240,720
-0.006130946,15,60,240,960
-0.006130946,15,60,240,1200
-0.023249238,15,60,300,600
-0.011739095,15,60,300,900
-0.006130946,15,60,300,1200
-0.006130946,15,60,300,1500
-0.019302502,15,75,150,300
0.032279701,15,75,150,450
0.033295859,15,75,150,600
0.007996565,15,75,150,750
0.015192141,15,75,225,450
0.008950506,15,75,225,675
0.055111783,15,75,225,900
0.055111783,15,75,225,1125
0.037237008,15,75,300,600
0.049403938,15,75,300,900
0.055111783,15,75,300,1200
0.055111783,15,75,300,1500
0.00957712,15,75,375,750
0.055111783,15,75,375,1125
0.055111783,15,75,375,1500
0.055111783,15,75,375,1875
-0.138136273,20,40,80,160
-0.067540937,20,40,80,240
-0.105750277,20,40,80,320
-0.058271387,20,40,80,400
-0.052831747,20,40,120,240
-0.113845002,20,40,120,360
-0.0392875,20,40,120,480
-0.038417548,20,40,120,600
-0.120094856,20,40,160,320
-0.0407782,20,40,160,480
-0.044443482,20,40,160,640
