Ret,s,l,s2,L2
-0.063220971,20,40,160,800
-0.092600018,20,40,200,400
-0.047941261,20,40,200,600
-0.068392295,20,40,200,800
-0.019471131,20,40,200,1000
-0.015880869,20,60,120,240
-0.076769749,20,60,120,360
-0.002467278,20,60,120,480
-0.001560678,20,60,120,600
-0.110004286,20,60,180,360
-0.015763406,20,60,180,540
-0.028745226,20,60,180,720
0.017243073,20,60,180,900
-0.00169075,20,60,240,480
-0.015012172,20,60,240,720
0.017243073,20,60,240,960
0.017243073,20,60,240,1200
3.77E-05,20,60,300,600
0.011616851,20,60,300,900
0.017243073,20,60,300,1200
0.017243073,20,60,300,1500
-0.101194505,20,80,160,320
-0.022694549,20,80,160,480
-0.0261857,20,80,160,640
-0.046743457,20,80,160,800
-0.020322265,20,80,240,480
-0.033539912,20,80,240,720
-0.001467389,20,80,240,960
-0.001467389,20,80,240,1200
-0.010232144,20,80,320,640
-0.001467389,20,80,320,960
-0.001467389,20,80,320,1280
-0.001467389,20,80,320,1600
0.008517127,20,80,400,800
-0.001467389,20,80,400,1200
-0.001467389,20,80,400,1600
-0.001467389,20,80,400,2000
-0.140982112,20,100,200,400
-0.099725315,20,100,200,600
-0.118339888,20,100,200,800
-0.07295705,20,100,200,1000
-0.089578197,20,100,300,600
-0.078446596,20,100,300,900
-0.07295705,20,100,300,1200
-0.07295705,20,100,300,1500
-0.064125138,20,100,400,800
-0.07295705,20,100,400,1200
-0.07295705,20,100,400,1600
-0.07295705,20,100,400,2000
-0.066035481,20,100,500,1000
-0.07295705,20,100,500,1500
-0.07295705,20,100,500,2000
-0.07295705,20,100,500,2500
-0.06663796,25,50,100,200
-0.082321388,25,50,100,300
-0.042344587,25,50,100,400
-0.026815352,25,50,100,500
-0.078644528,25,50,150,300
-0.027717927,25,50,150,450
-0.026878028,25,50,150,600
-0.050906266,25,50,150,750
-0.078658034,25,50,200,400
-0.034205346,25,50,200,600
-0.05454956,25,50,200,800
-0.005917366,25,50,200,1000
-0.02205952,25,50,250,500
-0.039053078,25,50,250,750
-0.005917366,25,50,250,1000
-0.005917366,25,50,250,1250
-0.059759411,25,75,150,300
-0.009128114,25,75,150,450
-0.008247578,25,75,150,600
-0.032152742,25,75,150,750
-0.025533832,25,75,225,450
-0.031242604,25,75,225,675
0.0125758,25,75,225,900
0.0125758,25,75,225,1125
-0.004513597,25,75,300,600
0.006962712,25,75,300,900
0.0125758,25,75,300,1200
0.0125758,25,75,300,1500
-0.030625539,25,75,375,750
0.0125758,25,75,375,1125
0.0125758,25,75,375,1500
0.0125758,25,75,375,1875
-0.150290179,25,100,200,400
-0.109567642,25,100,200,600
-0.127914032,25,100,200,800
-0.082778469,25,100,200,1000
-0.099566794,25,100,300,600
-0.088247073,25,100,300,900
-0.082778469,25,100,300,1200
-0.082778469,25,100,300,1500
-0.074157252,25,100,400,800
-0.082778469,25,100,400,1200
-0.082778469,25,100,400,1600
-0.082778469,25,100,400,2000
-0.07597449,25,100,500,1000
-0.082778469,25,100,500,1500
-0.082778469,25,100,500,2000
-0.082778469,25,100,500,2500
-0.073737115,25,125,250,500
-0.089404235,25,125,250,750
-0.057559284,25,125,250,1000
-0.057559284,25,125,250,1250
-0.099139112,25,125,375,750
-0.057559284,25,125,375,1125
-0.057559284,25,125,375,1500
-0.057559284,25,125,375,1875
-0.050515677,25,125,500,1000
-0.057559284,25,125,500,1500
-0.057559284,25,125,500,2000
-0.057559284,25,125,500,2500
-0.057559284,25,125,625,1250
-0.057559284,25,125,625,1875
-0.057559284,25,125,625,2500
-0.057559284,25,125,625,3125
-0.006812144,30,60,120,240
-0.0684988,30,60,120,360
0.006669062,30,60,120,480
0.007566879,30,60,120,600
-0.102129503,30,60,180,360
-0.006784727,30,60,180,540
-0.019969062,30,60,180,720
0.026558988,30,60,180,900
0.007456143,30,60,240,480
-0.006033149,30,60,240,720
0.026558988,30,60,240,960
0.026558988,30,60,240,1200
0.009180983,30,60,300,600
0.02091259,30,60,300,900
0.026558988,30,60,300,1200
0.026558988,30,60,300,1500
-0.154550215,30,90,180,360
-0.063922481,30,90,180,540
-0.078234381,30,90,180,720
-0.033739861,30,90,180,900
-0.05581896,30,90,270,540
-0.022854456,30,90,270,810
-0.033739861,30,90,270,1080
-0.033739861,30,90,270,1350
-0.074102068,30,90,360,720
-0.033739861,30,90,360,1080
-0.033739861,30,90,360,1440
-0.033739861,30,90,360,1800
-0.046439906,30,90,450,900
-0.033739861,30,90,450,1350
-0.033739861,30,90,450,1800
-0.033739861,30,90,450,2250
-0.080501289,30,120,240,480
-0.092647281,30,120,240,720
-0.06190526,30,120,240,960
-0.06190526,30,120,240,1200
-0.101368422,30,120,360,720
-0.06190526,30,120,360,1080
-0.06190526,30,120,360,1440
-0.06190526,30,120,360,1800
-0.063463716,30,120,480,960
-0.06190526,30,120,480,1440
-0.06190526,30,120,480,1920
-0.06190526,30,120,480,2400
-0.06190526,30,120,600,1200
-0.06190526,30,120,600,1800
-0.06190526,30,120,600,2400
-0.06190526,30,120,600,3000
-0.0727056,30,150,300,600
-0.06121929,30,150,300,900
-0.055736986,30,150,300,1200
-0.055736986,30,150,300,1500
-0.068132476,30,150,450,900
-0.055736986,30,150,450,1350
-0.055736986,30,150,450,1800
-0.055736986,30,150,450,2250
-0.055736986,30,150,600,1200
-0.055736986,30,150,600,1800
-0.055736986,30,150,600,2400
-0.055736986,30,150,600,3000
-0.055736986,30,150,750,1500
-0.055736986,30,150,750,2250
-0.055736986,30,150,750,3000
-0.055736986,30,150,750,3750
-0.037255067,35,70,140,280
0.040579055,35,70,140,420
0.028691701,35,70,140,560
0.004669543,35,70,140,700
0.040190668,35,70,210,420
0.021697863,35,70,210,630
0.046260377,35,70,210,840
0.05273843,35,70,210,1050
0.024092846,35,70,280,560
0.062966321,35,70,280,840
0.05273843,35,70,280,1120
0.05273843,35,70,280,1400
0.011390857,35,70,350,700
0.05273843,35,70,350,1050
0.05273843,35,70,350,1400
0.05273843,35,70,350,1750
-0.088275314,35,105,210,420
-0.103874281,35,105,210,630
-0.081458577,35,105,210,840
-0.0753084,35,105,210,1050
-0.083167193,35,105,315,630
-0.0753084,35,105,315,945
-0.0753084,35,105,315,1260
-0.0753084,35,105,315,1575
-0.071385902,35,105,420,840
-0.0753084,35,105,420,1260
-0.0753084,35,105,420,1680
-0.0753084,35,105,420,2100
-0.0753084,35,105,525,1050
-0.0753084,35,105,525,1575
-0.0753084,35,105,525,2100
-0.0753084,35,105,525,2625
-0.076221319,35,140,280,560
-0.040980796,35,140,280,840
-0.049591989,35,140,280,1120
-0.049591989,35,140,280,1400
-0.045611124,35,140,420,840
-0.049591989,35,140,420,1260
-0.049591989,35,140,420,1680
-0.049591989,35,140,420,2100
-0.049591989,35,140,560,1120
-0.049591989,35,140,560,1680
-0.049591989,35,140,560,2240
-0.049591989,35,140,560,2800
-0.049591989,35,140,700,1400
-0.049591989,35,140,700,2100
-0.049591989,35,140,700,2800
-0.049591989,35,140,700,3500
-0.089820281,35,175,350,700
-0.052146985,35,175,350,1050
-0.052146985,35,175,350,1400
-0.052146985,35,175,350,1750
-0.052146985,35,175,525,1050
-0.052146985,35,175,525,1575
-0.052146985,35,175,525,2100
-0.052146985,35,175,525,2625
-0.052146985,35,175,700,1400
-0.052146985,35,175,700,2100
-0.052146985,35,175,700,2800
-0.052146985,35,175,700,3500
-0.052146985,35,175,875,1750
-0.052146985,35,175,875,2625
-0.052146985,35,175,875,3500
-0.052146985,35,175,875,4375
-0.033178352,40,80,160,320
0.04711953,40,80,160,480
0.043516213,40,80,160,640
0.021965647,40,80,160,800
0.049623368,40,80,240,480
0.035823977,40,80,240,720
0.069168058,40,80,240,960
0.069168058,40,80,240,1200
0.060256068,40,80,320,640
0.069168058,40,80,320,960
0.069168058,40,80,320,1280
0.069168058,40,80,320,1600
0.079831712,40,80,400,800
0.069168058,40,80,400,1200
0.069168058,40,80,400,1600
0.069168058,40,80,400,2000
-0.087535634,40,120,240,480
-0.099429442,40,120,240,720
-0.069160259,40,120,240,960
-0.069160259,40,120,240,1200
-0.107998022,40,120,360,720
-0.069160259,40,120,360,1080
-0.069160259,40,120,360,1440
-0.069160259,40,120,360,1800
-0.070762291,40,120,480,960
-0.069160259,40,120,480,1440
-0.069160259,40,120,480,1920
-0.069160259,40,120,480,2400
-0.069160259,40,120,600,1200
-0.069160259,40,120,600,1800
-0.069160259,40,120,600,2400
-0.069160259,40,120,600,3000
-0.042495387,40,160,320,640
-0.033252741,40,160,320,960
-0.033252741,40,160,320,1280
-0.033252741,40,160,320,1600
-0.03481522,40,160,480,960
-0.033252741,40,160,480,1440
-0.033252741,40,160,480,1920
-0.033252741,40,160,480,2400
-0.033252741,40,160,640,1280
-0.033252741,40,160,640,1920
-0.033252741,40,160,640,2560
-0.033252741,40,160,640,3200
-0.033252741,40,160,800,1600
-0.033252741,40,160,800,2400
-0.033252741,40,160,800,3200
-0.033252741,40,160,800,4000
-0.02800536,40,200,400,800
-0.036890857,40,200,400,1200
-0.036890857,40,200,400,1600
-0.036890857,40,200,400,2000
-0.036890857,40,200,600,1200
-0.036890857,40,200,600,1800
-0.036890857,40,200,600,2400
-0.036890857,40,200,600,3000
-0.036890857,40,200,800,1600
-0.036890857,40,200,800,2400
-0.036890857,40,200,800,3200
-0.036890857,40,200,800,4000
-0.036890857,40,200,1000,2000
-0.036890857,40,200,1000,3000
-0.036890857,40,200,1000,4000
-0.036890857,40,200,1000,5000
-0.174905853,45,90,180,360
-0.089330745,45,90,180,540
-0.101203644,45,90,180,720
-0.057818284,45,90,180,900
-0.079590389,45,90,270,540
-0.047424121,45,90,270,810
-0.057818284,45,90,270,1080
-0.057818284,45,90,270,1350
-0.097207367,45,90,360,720
-0.057818284,45,90,360,1080
-0.057818284,45,90,360,1440
-0.057818284,45,90,360,1800
-0.070207348,45,90,450,900
-0.057818284,45,90,450,1350
-0.057818284,45,90,450,1800
-0.057818284,45,90,450,2250
-0.070495008,45,135,270,540
-0.038413924,45,135,270,810
-0.048742878,45,135,270,1080
-0.048742878,45,135,270,1350
-0.041996355,45,135,405,810
-0.048742878,45,135,405,1215
-0.048742878,45,135,405,1620
-0.048742878,45,135,405,2025
-0.048742878,45,135,540,1080
-0.048742878,45,135,540,1620
-0.048742878,45,135,540,2160
-0.048742878,45,135,540,2700
-0.048742878,45,135,675,1350
-0.048742878,45,135,675,2025
-0.048742878,45,135,675,2700
-0.048742878,45,135,675,3375
-0.07839556,45,180,360,720
-0.038921368,45,180,360,1080
-0.038921368,45,180,360,1440
-0.038921368,45,180,360,1800
-0.038921368,45,180,540,1080
-0.038921368,45,180,540,1620
-0.038921368,45,180,540,2160
-0.038921368,45,180,540,2700
-0.038921368,45,180,720,1440
-0.038921368,45,180,720,2160
-0.038921368,45,180,720,2880
-0.038921368,45,180,720,3600
-0.038921368,45,180,900,1800
-0.038921368,45,180,900,2700
-0.038921368,45,180,900,3600
-0.038921368,45,180,900,4500
-0.035891426,45,225,450,900
-0.023372732,45,225,450,1350
-0.023372732,45,225,450,1800
-0.023372732,45,225,450,2250
-0.023372732,45,225,675,1350
-0.023372732,45,225,675,2025
-0.023372732,45,225,675,2700
-0.023372732,45,225,675,3375
-0.023372732,45,225,900,1800
-0.023372732,45,225,900,2700
-0.023372732,45,225,900,3600
-0.023372732,45,225,900,4500
-0.023372732,45,225,1125,2250
-0.023372732,45,225,1125,3375
-0.023372732,45,225,1125,4500
-0.023372732,45,225,1125,5625
-0.150488243,50,100,200,400
-0.114050547,50,100,200,600
-0.13226216,50,100,200,800
-0.087385942,50,100,200,1000
-0.104118203,50,100,300,600
-0.092844534,50,100,300,900
-0.087385942,50,100,300,1200
-0.087385942,50,100,300,1500
-0.078857511,50,100,400,800
-0.087385942,50,100,400,1200
-0.087385942,50,100,400,1600
-0.087385942,50,100,400,2000
-0.08060352,50,100,500,1000
-0.087385942,50,100,500,1500
-0.087385942,50,100,500,2000
-0.087385942,50,100,500,2500
-0.043307543,50,150,300,600
-0.031604968,50,150,300,900
-0.026095934,50,150,300,1200
-0.026095934,50,150,300,1500
-0.038666501,50,150,450,900
-0.026095934,50,150,450,1350
-0.026095934,50,150,450,1800
-0.026095934,50,150,450,2250
-0.026095934,50,150,600,1200
-0.026095934,50,150,600,1800
-0.026095934,50,150,600,2400
-0.026095934,50,150,600,3000
-0.026095934,50,150,750,1500
-0.026095934,50,150,750,2250
-0.026095934,50,150,750,3000
-0.026095934,50,150,750,3750
-0.023741956,50,200,400,800
-0.032667585,50,200,400,1200
-0.032667585,50,200,400,1600
-0.032667585,50,200,400,2000
-0.032667585,50,200,600,1200
-0.032667585,50,200,600,1800
-0.032667585,50,200,600,2400
-0.032667585,50,200,600,3000
-0.032667585,50,200,800,1600
-0.032667585,50,200,800,2400
-0.032667585,50,200,800,3200
-0.032667585,50,200,800,4000
-0.032667585,50,200,1000,2000
-0.032667585,50,200,1000,3000
-0.032667585,50,200,1000,4000
-0.032667585,50,200,1000,5000
-0.017130996,50,250,500,1000
-0.024207476,50,250,500,1500
-0.024207476,50,250,500,2000
-0.024207476,50,250,500,2500
-0.024207476,50,250,750,1500
-0.024207476,50,250,750,2250
-0.024207476,50,250,750,3000
-0.024207476,50,250,750,3750
-0.024207476,50,250,1000,2000
-0.024207476,50,250,1000,3000
-0.024207476,50,250,1000,4000
-0.024207476,50,250,1000,5000
-0.024207476,50,250,1250,2500
-0.024207476,50,250,1250,3750
-0.024207476,50,250,1250,5000
-0.024207476,50,250,1250,6250
